subject,age,sex,study,scan,run
CCB002,20.0,F,1,1.0,1.0
CCB002,20.0,F,1,1.0,2.0
CCB003,40.0,M,1,1.0,1.0
CCB003,40.0,M,1,1.0,2.0
CCB003,40.0,M,1,2.0,1.0
CCB003,40.0,M,1,2.0,2.0
CCB004,26.0,F,1,1.0,2.0
CCB004,26.0,F,1,2.0,2.0
CCB005,36.0,M,1,1.0,2.0
CCB005,36.0,M,1,2.0,1.0
CCB005,36.0,M,1,2.0,2.0
CCB006,20.0,M,1,1.0,1.0
CCB006,20.0,M,1,1.0,2.0
CCB006,20.0,M,1,2.0,1.0
CCB006,20.0,M,1,2.0,2.0
CCB007,25.0,M,1,1.0,1.0
CCB007,25.0,M,1,1.0,2.0
CCB007,25.0,M,1,2.0,1.0
CCB007,25.0,M,1,2.0,2.0
CCB009,20.0,M,1,1.0,1.0
CCB009,20.0,M,1,1.0,2.0
CCB010,20.0,F,1,1.0,2.0
CCB010,20.0,F,1,2.0,1.0
CCB010,20.0,F,1,2.0,2.0
CCB012,22.0,F,1,1.0,1.0
CCB013,21.0,F,1,1.0,1.0
CCB013,21.0,F,1,1.0,2.0
CCB014,24.0,F,1,1.0,1.0
CCB014,24.0,F,1,1.0,2.0
CCB015,29.0,M,1,1.0,1.0
CCB015,29.0,M,1,1.0,2.0
CCB016,20.0,M,1,1.0,1.0
CCB016,20.0,M,1,1.0,2.0
CCB017,20.0,M,1,1.0,1.0
CCB017,20.0,M,1,1.0,2.0
CCB018,40.0,F,1,1.0,1.0
CCB018,40.0,F,1,1.0,2.0
CCB019,40.0,M,1,1.0,1.0
CCB019,40.0,M,1,1.0,2.0
CCB019,40.0,M,1,2.0,1.0
CCB020,27.0,M,1,1.0,1.0
CCB020,27.0,M,1,1.0,2.0
CCB020,27.0,M,1,2.0,1.0
CCB020,27.0,M,1,2.0,2.0
CCB021,26.0,M,1,1.0,1.0
CCB021,26.0,M,1,1.0,2.0
CCB022,36.0,M,1,1.0,1.0
CCB022,36.0,M,1,1.0,2.0
CCB022,36.0,M,1,2.0,1.0
CCB022,36.0,M,1,2.0,2.0
CCB025,21.0,F,1,1.0,1.0
CCB025,21.0,F,1,1.0,2.0
CCB026,22.0,M,1,1.0,1.0
CCB026,22.0,M,1,1.0,2.0
CCB027,23.0,F,1,1.0,1.0
CCB027,23.0,F,1,1.0,2.0
CCB027,23.0,F,1,2.0,1.0
CCB027,23.0,F,1,2.0,2.0
CCB029,33.0,F,1,1.0,1.0
CCB029,33.0,F,1,1.0,2.0
CCB029,33.0,F,1,2.0,1.0
CCB029,33.0,F,1,2.0,2.0
CCB031,26.0,M,1,2.0,1.0
CCB031,26.0,M,1,2.0,2.0
CCB032,32.0,F,1,1.0,1.0
CCB032,32.0,F,1,1.0,2.0
CCB032,32.0,F,1,2.0,1.0
CCB032,32.0,F,1,2.0,2.0
CCB035,19.0,F,1,1.0,2.0
CCB037,33.0,M,1,2.0,1.0
CCB037,33.0,M,1,2.0,2.0
CCB038,40.0,F,1,1.0,2.0
CCD003,28.0,M,2,1.0,1.0
CCD003,28.0,M,2,1.0,2.0
CCD004,58.0,F,2,1.0,2.0
CCD005,32.0,M,2,1.0,1.0
CCD005,32.0,M,2,1.0,2.0
CCD006,36.0,F,2,1.0,1.0
CCD006,36.0,F,2,1.0,2.0
CCD007,35.0,M,2,1.0,1.0
CCD007,35.0,M,2,1.0,2.0
CCD008,30.0,M,2,1.0,2.0
CCD009,55.0,F,2,1.0,1.0
CCD009,55.0,F,2,1.0,2.0
CCD010,22.0,F,2,1.0,1.0
CCD010,22.0,F,2,1.0,2.0
CCD011,39.0,M,2,1.0,1.0
CCD011,39.0,M,2,1.0,2.0
